"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","27 Jul 2020","9112.45","9112.45","8995.10","9024.90"
"NIFTY 500","24 Jul 2020","9066.65","9108.20","9011.50","9085.95"
"NIFTY 500","23 Jul 2020","9054.85","9129.30","9034.60","9114.05"
"NIFTY 500","22 Jul 2020","9119.15","9123.05","8988.55","9046.60"
"NIFTY 500","21 Jul 2020","9066.15","9089.20","9049.45","9070.60"
"NIFTY 500","20 Jul 2020","8965.25","8994.95","8938.10","8985.10"
"NIFTY 500","17 Jul 2020","8783.05","8915.25","8781.45","8895.30"
"NIFTY 500","16 Jul 2020","8750.60","8776.05","8650.60","8766.60"
"NIFTY 500","15 Jul 2020","8764.05","8846.90","8661.45","8689.85"
"NIFTY 500","14 Jul 2020","8799.55","8802.70","8655.40","8693.35"
"NIFTY 500","13 Jul 2020","8879.55","8901.30","8796.55","8834.20"
"NIFTY 500","10 Jul 2020","8818.70","8865.35","8772.45","8813.95"
"NIFTY 500","09 Jul 2020","8823.75","8867.30","8808.00","8851.50"
"NIFTY 500","08 Jul 2020","8872.05","8894.05","8763.55","8785.00"
"NIFTY 500","07 Jul 2020","8847.25","8861.45","8762.20","8850.30"
"NIFTY 500","06 Jul 2020","8782.00","8843.10","8761.95","8815.70"
"NIFTY 500","03 Jul 2020","8700.85","8712.90","8660.65","8696.25"
"NIFTY 500","02 Jul 2020","8602.45","8677.95","8598.80","8647.85"
"NIFTY 500","01 Jul 2020","8493.75","8567.35","8466.70","8554.75"
"NIFTY 500","30 Jun 2020","8544.70","8560.30","8448.55","8474.80"
"NIFTY 500","29 Jun 2020","8514.60","8521.40","8426.95","8488.05"
"NIFTY 500","26 Jun 2020","8572.45","8595.45","8515.65","8559.00"
"NIFTY 500","25 Jun 2020","8440.75","8543.55","8410.15","8499.90"
"NIFTY 500","24 Jun 2020","8678.70","8699.55","8476.85","8496.25"
"NIFTY 500","23 Jun 2020","8527.50","8629.90","8488.35","8621.10"
"NIFTY 500","22 Jun 2020","8471.90","8538.75","8447.95","8486.45"
"NIFTY 500","19 Jun 2020","8314.95","8420.85","8282.50","8403.40"
"NIFTY 500","18 Jun 2020","8130.90","8297.00","8117.95","8283.65"
"NIFTY 500","17 Jun 2020","8126.30","8223.95","8098.00","8140.45"
"NIFTY 500","16 Jun 2020","8239.40","8260.20","8015.15","8152.30"
"NIFTY 500","15 Jun 2020","8171.75","8196.40","8030.40","8086.45"
"NIFTY 500","12 Jun 2020","7839.80","8212.80","7839.15","8196.40"
"NIFTY 500","11 Jun 2020","8284.10","8306.45","8125.00","8137.00"
"NIFTY 500","10 Jun 2020","8260.15","8314.60","8224.70","8293.35"
"NIFTY 500","09 Jun 2020","8350.30","8422.15","8213.60","8238.10"
"NIFTY 500","08 Jun 2020","8444.55","8445.65","8287.90","8323.95"
"NIFTY 500","05 Jun 2020","8243.60","8319.40","8206.10","8299.35"
"NIFTY 500","04 Jun 2020","8209.00","8266.95","8117.20","8185.90"
"NIFTY 500","03 Jun 2020","8241.60","8295.35","8182.15","8203.00"
"NIFTY 500","02 Jun 2020","8068.15","8147.40","8030.65","8137.45"
"NIFTY 500","01 Jun 2020","7935.70","8087.00","7923.70","8020.10"
"NIFTY 500","29 May 2020","7687.60","7834.05","7658.80","7822.40"
"NIFTY 500","28 May 2020","7635.00","7746.40","7616.80","7732.25"
"NIFTY 500","27 May 2020","7462.95","7607.40","7394.05","7595.55"
"NIFTY 500","26 May 2020","7463.60","7502.70","7395.95","7424.50"
"NIFTY 500","22 May 2020","7446.00","7507.50","7368.70","7416.00"
"NIFTY 500","21 May 2020","7444.45","7525.30","7429.25","7470.60"
"NIFTY 500","20 May 2020","7292.90","7446.85","7281.80","7426.85"
"NIFTY 500","19 May 2020","7350.10","7398.05","7266.15","7284.50"
"NIFTY 500","18 May 2020","7522.45","7522.50","7234.45","7245.25"
"NIFTY 500","15 May 2020","7547.60","7547.60","7447.70","7504.05"
"NIFTY 500","14 May 2020","7558.15","7614.80","7495.90","7514.55"
"NIFTY 500","13 May 2020","7819.15","7819.20","7632.85","7667.00"
"NIFTY 500","12 May 2020","7508.55","7552.60","7403.30","7520.90"
"NIFTY 500","11 May 2020","7628.50","7692.35","7542.75","7556.40"
"NIFTY 500","08 May 2020","7649.35","7654.15","7542.80","7552.00"
"NIFTY 500","07 May 2020","7551.60","7592.45","7509.80","7520.85"
"NIFTY 500","06 May 2020","7544.15","7620.80","7451.20","7575.50"
"NIFTY 500","05 May 2020","7704.50","7727.75","7513.25","7523.05"
"NIFTY 500","04 May 2020","7764.95","7765.80","7578.75","7596.90"
"NIFTY 500","30 Apr 2020","7947.15","8041.05","7933.30","8012.90"
"NIFTY 500","29 Apr 2020","7702.60","7828.30","7692.95","7797.20"
"NIFTY 500","28 Apr 2020","7690.55","7698.55","7584.85","7672.45"
"NIFTY 500","27 Apr 2020","7578.00","7657.65","7572.10","7603.95"
"NIFTY 500","24 Apr 2020","7519.60","7599.90","7485.55","7493.45"
"NIFTY 500","23 Apr 2020","7575.55","7655.60","7540.40","7625.30"
"NIFTY 500","22 Apr 2020","7421.85","7543.80","7350.25","7533.80"
"NIFTY 500","21 Apr 2020","7436.50","7446.05","7346.55","7395.85"
"NIFTY 500","20 Apr 2020","7712.20","7712.40","7602.10","7614.60"
"NIFTY 500","17 Apr 2020","7665.40","7665.65","7489.20","7614.40"
"NIFTY 500","16 Apr 2020","7297.80","7453.05","7268.25","7412.30"
"NIFTY 500","15 Apr 2020","7503.00","7581.60","7298.55","7344.35"
"NIFTY 500","13 Apr 2020","7450.20","7453.65","7279.00","7360.35"
"NIFTY 500","09 Apr 2020","7335.20","7454.90","7298.40","7441.65"
"NIFTY 500","08 Apr 2020","7090.40","7435.50","7061.35","7161.45"
"NIFTY 500","07 Apr 2020","6913.50","7164.70","6842.95","7149.00"
"NIFTY 500","03 Apr 2020","6831.65","6831.65","6619.55","6638.45"
"NIFTY 500","01 Apr 2020","6995.55","6998.40","6720.45","6761.95"
"NIFTY 500","31 Mar 2020","6938.05","7041.65","6808.75","6996.75"
"NIFTY 500","30 Mar 2020","6810.50","6947.95","6721.25","6749.20"
"NIFTY 500","27 Mar 2020","7230.55","7311.05","6902.90","7003.30"
"NIFTY 500","26 Mar 2020","6826.05","7079.75","6722.35","6993.85"
"NIFTY 500","25 Mar 2020","6299.75","6758.75","6291.85","6724.00"
"NIFTY 500","24 Mar 2020","6421.00","6556.65","6151.60","6365.45"
"NIFTY 500","23 Mar 2020","6522.80","6692.85","6226.10","6243.00"
"NIFTY 500","20 Mar 2020","6833.65","7267.25","6744.80","7160.10"
"NIFTY 500","19 Mar 2020","6676.85","7041.70","6483.15","6807.20"
"NIFTY 500","18 Mar 2020","7512.30","7543.05","6969.35","7010.55"
"NIFTY 500","17 Mar 2020","7642.35","7746.15","7383.35","7417.65"
"NIFTY 500","16 Mar 2020","7867.00","7904.25","7564.80","7591.90"
"NIFTY 500","13 Mar 2020","7425.05","8298.00","7028.70","8163.00"
"NIFTY 500","12 Mar 2020","8272.40","8272.85","7841.50","7901.35"
"NIFTY 500","11 Mar 2020","8556.10","8709.50","8555.80","8618.05"
"NIFTY 500","09 Mar 2020","8862.70","8870.15","8520.95","8631.35"
"NIFTY 500","06 Mar 2020","8997.05","9089.20","8918.55","9059.95"
"NIFTY 500","05 Mar 2020","9305.55","9365.55","9250.05","9280.15"
"NIFTY 500","04 Mar 2020","9362.90","9368.55","9125.45","9258.25"
"NIFTY 500","03 Mar 2020","9251.40","9348.55","9201.00","9324.30"
"NIFTY 500","02 Mar 2020","9380.40","9436.50","9105.00","9178.80"
"NIFTY 500","28 Feb 2020","9372.70","9374.85","9214.10","9236.05"
"NIFTY 500","27 Feb 2020","9612.40","9613.50","9496.55","9579.35"
"NIFTY 500","26 Feb 2020","9680.10","9713.20","9596.30","9622.70"
"NIFTY 500","25 Feb 2020","9796.45","9813.80","9711.75","9724.70"
"NIFTY 500","24 Feb 2020","9904.50","9904.50","9745.55","9758.20"
"NIFTY 500","20 Feb 2020","9969.90","10016.65","9950.60","9958.65"
"NIFTY 500","19 Feb 2020","9921.30","9974.85","9895.40","9970.50"
"NIFTY 500","18 Feb 2020","9876.70","9877.60","9768.45","9845.55"
"NIFTY 500","17 Feb 2020","9976.15","9990.75","9884.95","9891.00"
"NIFTY 500","14 Feb 2020","10031.25","10071.70","9947.65","9961.05"
"NIFTY 500","13 Feb 2020","10049.85","10053.20","9990.35","10017.75"
"NIFTY 500","12 Feb 2020","10020.60","10067.70","10015.85","10037.10"
"NIFTY 500","11 Feb 2020","10004.05","10044.15","9979.60","9987.05"
"NIFTY 500","10 Feb 2020","10008.75","10008.75","9917.65","9945.65"
"NIFTY 500","07 Feb 2020","10019.45","10021.70","9974.55","10000.75"
"NIFTY 500","06 Feb 2020","9979.65","10022.50","9953.20","10004.20"
"NIFTY 500","05 Feb 2020","9880.15","9955.90","9847.05","9951.35"
"NIFTY 500","04 Feb 2020","9711.95","9858.65","9711.10","9853.05"
"NIFTY 500","03 Feb 2020","9578.50","9682.65","9559.85","9650.55"
"NIFTY 500","01 Feb 2020","9844.90","9918.35","9582.85","9606.05"
"NIFTY 500","31 Jan 2020","9968.40","9971.20","9849.25","9861.45"
"NIFTY 500","30 Jan 2020","10025.35","10026.90","9902.30","9919.20"
"NIFTY 500","29 Jan 2020","10006.95","10039.05","9990.20","10009.30"
"NIFTY 500","28 Jan 2020","10023.50","10041.05","9934.20","9956.95"
"NIFTY 500","27 Jan 2020","10046.45","10077.45","9989.55","9999.60"
"NIFTY 500","24 Jan 2020","10019.95","10101.25","9999.25","10083.70"
"NIFTY 500","23 Jan 2020","9961.80","10027.80","9944.10","10021.40"
"NIFTY 500","22 Jan 2020","10029.55","10034.05","9935.00","9947.00"
"NIFTY 500","21 Jan 2020","10001.85","10033.30","9977.70","9987.55"
"NIFTY 500","20 Jan 2020","10174.95","10174.95","10019.05","10025.70"
"NIFTY 500","17 Jan 2020","10096.40","10138.45","10089.50","10118.70"
"NIFTY 500","16 Jan 2020","10099.95","10132.15","10076.60","10110.05"
"NIFTY 500","15 Jan 2020","10070.00","10095.95","10030.95","10087.05"
"NIFTY 500","14 Jan 2020","10051.20","10083.85","10032.85","10075.85"
"NIFTY 500","13 Jan 2020","10012.80","10046.45","10006.25","10042.50"
"NIFTY 500","10 Jan 2020","9985.00","10023.15","9947.35","9978.00"
"NIFTY 500","09 Jan 2020","9894.05","9951.20","9882.15","9943.90"
"NIFTY 500","08 Jan 2020","9708.70","9798.25","9700.35","9792.20"
"NIFTY 500","07 Jan 2020","9814.45","9883.45","9765.50","9805.40"
"NIFTY 500","06 Jan 2020","9896.45","9901.60","9731.85","9747.40"
"NIFTY 500","03 Jan 2020","9966.80","9976.75","9913.60","9941.65"
"NIFTY 500","02 Jan 2020","9903.25","9984.40","9901.40","9980.00"
"NIFTY 500","01 Jan 2020","9897.95","9914.40","9875.10","9888.55"
